"","I_all_1825","kappa_value_1c","kappa_value_2c","kappa_value_11","kappa_value_22","kappa_value_12","kappa_value_21","gamma_value_VA","gamma_value_EC"
"4525",1425.09104568186,0.190718424120838,0.190718424120838,0.0961898642624026,0.0961898642624026,0.0961898642624026,0.0961898642624026,0.0228256324208388,0.0228256324208388
"4526",1666.53204835057,0.166899900485776,0.166899900485776,0.0863042577805225,0.0863042577805225,0.0863042577805225,0.0863042577805225,0.0337911475318391,0.0337911475318391
"4527",2065.60062101128,0.0862821674693789,0.0862821674693789,0.0764150743383669,0.0764150743383669,0.0764150743383669,0.0764150743383669,0.0512209975410951,0.0512209975410951
"4528",1702.34194931406,0.0654120840607824,0.0654120840607824,0.0409135109195769,0.0409135109195769,0.0409135109195769,0.0409135109195769,0.010854893056741,0.010854893056741
"4529",2011.1146717847,0.089512750073503,0.089512750073503,0.0856380148777599,0.0856380148777599,0.0856380148777599,0.0856380148777599,0.0422414311504131,0.0422414311504131
"4530",2354.68851393576,0.0195273808289765,0.0195273808289765,0.0200062301839791,0.0200062301839791,0.0200062301839791,0.0200062301839791,0.0563031901559606,0.0563031901559606
"4531",1794.71387670516,0.175780324231206,0.175780324231206,0.147515775346037,0.147515775346037,0.147515775346037,0.147515775346037,0.0571684040475916,0.0571684040475916
"4532",2089.82973120704,0.0771404372460221,0.0771404372460221,0.0825463024057564,0.0825463024057564,0.0825463024057564,0.0825463024057564,0.0486298032535799,0.0486298032535799
"4533",2073.98435179713,0.0892225517827986,0.0892225517827986,0.117030323378212,0.117030323378212,0.117030323378212,0.117030323378212,0.0586010637995601,0.0586010637995601
"4534",1838.26953911671,0.169089570700112,0.169089570700112,0.211544754018012,0.211544754018012,0.211544754018012,0.211544754018012,0.0659427879415732,0.0659427879415732
"4535",319.949363663859,0.17752429834981,0.17752429834981,0.207974028821191,0.207974028821191,0.207974028821191,0.207974028821191,0.00192551810916513,0.00192551810916513
"4536",1984.36740951379,0.120851369379942,0.120851369379942,0.139926802144939,0.139926802144939,0.139926802144939,0.139926802144939,0.0643595753716817,0.0643595753716817
"4537",1958.21261679991,0.109996180849582,0.109996180849582,0.133943699263501,0.133943699263501,0.133943699263501,0.133943699263501,0.0485681979226647,0.0485681979226647
"4538",1568.35568533355,0.145527478441257,0.145527478441257,0.189140939700125,0.189140939700125,0.189140939700125,0.189140939700125,0.0237783117929753,0.0237783117929753
"4539",1570.10164263196,0.180222800137162,0.180222800137162,0.154246375476623,0.154246375476623,0.154246375476623,0.154246375476623,0.0309448779888591,0.0309448779888591
"4540",1918.39619704768,0.124439387270074,0.124439387270074,0.141516198299881,0.141516198299881,0.141516198299881,0.141516198299881,0.0508077880116831,0.0508077880116831
"4541",986.087603655826,0.0800282878299024,0.0800282878299024,0.0501519014533269,0.0501519014533269,0.0501519014533269,0.0501519014533269,0.00357843049893621,0.00357843049893621
"4542",2349.36552608243,0.0116417912296899,0.0116417912296899,0.0123231626159027,0.0123231626159027,0.0123231626159027,0.0123231626159027,0.0234257675090432,0.0234257675090432
"4543",1720.71207109612,0.200576141065473,0.200576141065473,0.187612611339601,0.187612611339601,0.187612611339601,0.187612611339601,0.0571392628321052,0.0571392628321052
"4544",2141.13905650812,0.0551991554716031,0.0551991554716031,0.0454076697906053,0.0454076697906053,0.0454076697906053,0.0454076697906053,0.0370554083382944,0.0370554083382944
"4545",1997.30107452783,0.103402557616818,0.103402557616818,0.121646534202654,0.121646534202654,0.121646534202654,0.121646534202654,0.0514981959396321,0.0514981959396321
"4546",1918.14215310276,0.142907443269141,0.142907443269141,0.168367966839027,0.168367966839027,0.168367966839027,0.168367966839027,0.0656789747116761,0.0656789747116761
"4547",2000.11331730746,0.10262369094271,0.10262369094271,0.0649245124303763,0.0649245124303763,0.0649245124303763,0.0649245124303763,0.0492446691532433,0.0492446691532433
"4548",1241.53858368664,0.112250199611911,0.112250199611911,0.159421226684693,0.159421226684693,0.159421226684693,0.159421226684693,0.0088947017980041,0.0088947017980041
"4549",2127.49240360251,0.0546231141447965,0.0546231141447965,0.0527646046583384,0.0527646046583384,0.0527646046583384,0.0527646046583384,0.034070825668294,0.034070825668294
"4550",2305.63471919985,0.0343580492231159,0.0343580492231159,0.019881593785141,0.019881593785141,0.019881593785141,0.019881593785141,0.0690192992262542,0.0690192992262542
"4551",2127.5153681298,0.0422587657666266,0.0422587657666266,0.0531724492239489,0.0531724492239489,0.0531724492239489,0.0531724492239489,0.0238864264544332,0.0238864264544332
"4552",1214.81477238051,0.15878557457844,0.15878557457844,0.184228544754422,0.184228544754422,0.184228544754422,0.184228544754422,0.0127852457953244,0.0127852457953244
"4553",1638.73195678278,0.166030994493397,0.166030994493397,0.0989089418245,0.0989089418245,0.0989089418245,0.0989089418245,0.0314613351817243,0.0314613351817243
"4554",1460.93126277533,0.0972215966395904,0.0972215966395904,0.119229424064573,0.119229424064573,0.119229424064573,0.119229424064573,0.0110627263077674,0.0110627263077674
"4555",2217.93924665041,0.0424707096812432,0.0424707096812432,0.0427565283818543,0.0427565283818543,0.0427565283818543,0.0427565283818543,0.040808979982445,0.040808979982445
"4556",1214.82493825522,0.122255430904367,0.122255430904367,0.0763067112047393,0.0763067112047393,0.0763067112047393,0.0763067112047393,0.00873530571217183,0.00873530571217183
"4557",2031.16486827636,0.0380425885472861,0.0380425885472861,0.0451511488485969,0.0451511488485969,0.0451511488485969,0.0451511488485969,0.0140883106420003,0.0140883106420003
"4558",2354.61782356759,0.0180256653481125,0.0180256653481125,0.0208918833147614,0.0208918833147614,0.0208918833147614,0.0208918833147614,0.0490127457284834,0.0490127457284834
"4559",2177.16391039392,0.0406090929692907,0.0406090929692907,0.0575567026969483,0.0575567026969483,0.0575567026969483,0.0575567026969483,0.029523438847824,0.029523438847824
"4560",1965.46730672249,0.116719207575712,0.116719207575712,0.166877545457312,0.166877545457312,0.166877545457312,0.166877545457312,0.0566524805360008,0.0566524805360008
"4561",2209.00238417115,0.0467792956188827,0.0467792956188827,0.0561789842790311,0.0561789842790311,0.0561789842790311,0.0561789842790311,0.044926802196987,0.044926802196987
"4562",2218.06108654818,0.0441753791890965,0.0441753791890965,0.0544760194926444,0.0544760194926444,0.0544760194926444,0.0544760194926444,0.0438722985285847,0.0438722985285847
"4563",1751.44585122166,0.189636882401729,0.189636882401729,0.266032408084601,0.266032408084601,0.266032408084601,0.266032408084601,0.0609587075963803,0.0609587075963803
"4564",1903.45397866341,0.0759840528798486,0.0759840528798486,0.0674389010141524,0.0674389010141524,0.0674389010141524,0.0674389010141524,0.0223740222822176,0.0223740222822176
"4565",2425.03477279023,0.00249401649560302,0.00249401649560302,0.0036117930068534,0.0036117930068534,0.0036117930068534,0.0036117930068534,0.0253232847227296,0.0253232847227296
"4566",1789.47776677821,0.194711275177875,0.194711275177875,0.177684368322419,0.177684368322419,0.177684368322419,0.177684368322419,0.0687565987266181,0.0687565987266181
"4567",1566.28944551076,0.134605622587864,0.134605622587864,0.10013883170453,0.10013883170453,0.10013883170453,0.10013883170453,0.0200205611246545,0.0200205611246545
"4568",2127.4854925533,0.0564706490174259,0.0564706490174259,0.0626924018459817,0.0626924018459817,0.0626924018459817,0.0626924018459817,0.0360678713049507,0.0360678713049507
"4569",1201.59979833103,0.174195321045918,0.174195321045918,0.184910631886834,0.184910631886834,0.184910631886834,0.184910631886834,0.0138953807495534,0.0138953807495534
"4570",1772.59570951733,0.162959537426412,0.162959537426412,0.229554600120396,0.229554600120396,0.229554600120396,0.229554600120396,0.0497238337284652,0.0497238337284652
"4571",859.847929577293,0.172369291536742,0.172369291536742,0.244921201775334,0.244921201775334,0.244921201775334,0.244921201775334,0.00747549739947077,0.00747549739947077
"4572",2394.06973493813,0.00978960610368594,0.00978960610368594,0.0142088074168799,0.0142088074168799,0.0142088074168799,0.0142088074168799,0.0472213891566498,0.0472213891566498
